city,locality,zone,latitude,longitude,price_per_sqft,monthly_rent,maintenance_cost,safety_score,crime_rate,pollution_index,noise_level,hospital_distance_km,school_distance_km,college_distance_km,metro_distance_km,bus_stop_distance_km,road_connectivity_score,green_space_score,shopping_mall_distance_km,internet_speed_mbps,water_availability_score,power_backup
Bengaluru,Yelahanka,East,18.8874,77.0111,14413,38111,5185,9.3,2.7,139,5.6,3.41,1.97,4.9,1.52,0.26,8.6,6.7,2.63,203,6.4,Yes
Bengaluru,BTM Layout,South,28.6422,74.8704,12547,44237,2504,6.9,1.3,164,7.0,2.95,0.67,5.09,4.68,0.55,7.2,4.8,3.48,288,7.0,Yes
Bengaluru,Whitefield,East,20.8892,73.6224,7792,36202,3439,8.9,1.1,214,5.1,5.91,0.85,6.31,0.55,0.66,8.5,6.7,2.76,164,8.9,Yes
Bengaluru,Whitefield,East,23.0132,76.1198,15642,85811,4322,6.9,4.7,166,6.5,1.21,2.41,6.21,4.61,0.83,7.1,5.2,5.64,117,7.2,No
Bengaluru,Yelahanka,North,16.7846,77.5264,13524,53972,2525,8.4,3.8,143,5.3,1.43,4.25,1.93,3.69,1.11,8.1,8.3,3.6,271,9.0,Yes
Bengaluru,Indiranagar,Central,17.008,74.3021,13873,72602,1748,8.0,3.8,194,5.9,2.16,1.33,5.84,2.35,0.73,8.4,5.2,2.79,178,6.7,No
Bengaluru,Whitefield,East,26.4976,75.1268,10158,70260,2571,8.8,3.3,147,4.4,3.07,1.42,2.49,0.71,0.51,7.3,7.3,1.87,281,9.2,Yes
Bengaluru,Electronic City,East,15.8184,73.911,12933,79186,5585,9.1,3.2,143,7.3,3.28,4.36,2.29,2.07,0.17,7.7,8.5,4.1,180,7.0,Yes
Bengaluru,Indiranagar,West,14.9296,74.71,10492,70855,4497,6.6,1.2,169,4.6,2.09,1.92,3.7,3.11,1.26,8.2,7.2,1.21,84,7.4,Yes
Bengaluru,Electronic City,East,24.8039,74.2128,12841,70610,5596,6.6,1.2,205,6.6,3.36,0.93,6.36,0.94,1.4,7.1,6.3,3.89,275,7.0,Yes
Bengaluru,Electronic City,Central,21.2642,78.0864,9411,80245,1636,7.6,4.0,226,5.6,4.88,3.35,5.13,0.34,0.76,9.4,8.0,4.77,207,6.8,Yes
Bengaluru,Electronic City,West,15.5111,77.4806,14653,67832,2710,9.0,2.1,148,3.9,2.93,2.06,3.48,1.28,0.8,8.1,6.6,5.17,246,6.2,Yes
Bengaluru,Electronic City,South,21.7181,80.2857,12337,86875,4586,7.4,1.8,256,4.5,2.45,3.54,5.33,3.61,1.07,8.1,5.4,1.86,202,7.0,Yes
Bengaluru,Yelahanka,South,23.7748,76.4164,12361,63718,6091,9.3,4.6,190,4.3,3.65,2.58,6.37,2.29,0.58,8.7,5.2,0.73,242,6.3,Yes
Bengaluru,Yelahanka,West,16.2024,78.9924,8942,53601,2624,6.8,4.3,181,4.1,4.18,2.53,4.83,0.48,0.68,8.5,5.0,4.74,61,9.4,Yes
Bengaluru,BTM Layout,West,20.3914,74.2159,9206,60096,3838,8.4,5.1,142,5.9,1.78,3.4,6.1,0.4,1.39,7.5,8.3,5.64,69,9.5,Yes
Bengaluru,BTM Layout,South,27.6921,80.0122,9242,22910,1575,7.4,3.7,205,4.3,5.94,2.58,3.96,5.17,1.29,7.6,5.4,1.12,101,8.6,No
Bengaluru,Yelahanka,South,13.0239,75.2621,9333,43318,2937,8.3,3.9,223,6.7,3.33,0.66,5.02,1.18,0.3,7.1,5.6,1.93,120,7.6,Yes
Bengaluru,Yelahanka,East,22.0611,77.0539,8785,65127,3435,6.7,1.5,198,3.7,4.27,4.18,6.33,4.28,1.07,8.2,8.7,2.52,116,6.8,Yes
Bengaluru,BTM Layout,South,20.0342,80.2152,10621,72505,5999,9.2,4.4,175,6.4,4.24,2.8,5.72,2.99,0.84,7.3,8.6,1.12,272,7.9,No
Bengaluru,Whitefield,Central,21.3329,73.9505,13025,75912,2452,8.5,4.2,245,3.4,3.31,3.7,3.72,2.92,0.74,6.2,6.6,4.94,245,6.1,Yes
Bengaluru,Indiranagar,South,21.9951,73.0442,10144,26357,5933,9.5,5.2,137,7.4,3.1,1.51,2.08,0.92,1.0,8.6,8.8,2.56,288,7.3,Yes
Bengaluru,BTM Layout,North,23.6554,77.7296,13335,35431,4348,6.9,5.5,220,5.4,4.5,1.24,1.02,0.32,0.52,8.4,7.0,3.43,270,6.8,Yes
Bengaluru,Yelahanka,South,17.1828,79.8243,6348,22222,4934,8.3,5.2,124,4.1,0.87,2.79,3.68,3.76,1.32,6.9,4.7,2.91,198,6.8,Yes
Bengaluru,Whitefield,Central,28.5964,74.4796,13938,59799,6230,8.3,4.0,202,4.1,5.32,4.44,4.13,2.39,0.49,7.9,7.2,4.54,104,8.2,Yes
Bengaluru,Electronic City,West,13.5455,75.3176,15040,67958,5796,7.5,2.9,158,4.3,1.51,2.56,2.45,1.39,1.3,6.5,6.6,0.82,165,9.4,No
Bengaluru,Electronic City,South,18.9759,74.638,9911,28363,5184,9.0,1.4,168,3.2,2.57,2.84,1.24,0.59,1.23,8.1,7.5,1.69,113,9.0,Yes
Bengaluru,Yelahanka,North,16.1677,74.1442,6422,80773,3487,8.6,4.2,221,7.1,3.54,3.56,3.28,3.03,0.6,6.9,6.8,3.24,85,8.8,No
Bengaluru,BTM Layout,East,27.3379,75.5174,11281,23992,6108,9.1,4.3,124,4.2,5.64,2.73,3.51,1.01,0.56,7.3,8.3,3.25,227,9.3,Yes
Bengaluru,Yelahanka,West,28.1675,77.5769,12537,78401,2878,8.7,2.6,155,6.2,3.19,4.15,4.25,3.6,0.18,6.1,8.3,5.7,231,6.2,Yes
Bengaluru,BTM Layout,South,26.1965,74.4589,6974,19198,3291,8.0,2.7,243,6.0,0.59,2.54,3.47,0.29,1.11,7.9,5.8,3.26,238,8.4,Yes
Bengaluru,Indiranagar,North,21.1377,74.5314,14654,87003,3567,8.9,2.2,221,3.4,5.78,2.23,2.46,3.9,0.52,8.9,4.9,5.95,226,8.7,Yes
Bengaluru,BTM Layout,West,18.797,76.3176,14932,19238,2903,6.7,4.8,204,5.5,5.22,0.7,4.17,0.43,0.4,9.0,8.5,3.12,71,9.2,No
Bengaluru,Yelahanka,Central,21.7598,72.9501,9652,20052,3197,8.3,4.4,221,7.2,2.15,2.67,4.4,4.7,1.05,7.9,6.2,4.57,262,9.5,No
Bengaluru,Indiranagar,Central,24.6528,75.3285,6100,75290,3401,9.0,2.5,221,7.4,2.3,2.96,5.7,2.59,0.42,7.9,6.2,1.52,209,8.3,Yes
Bengaluru,Electronic City,East,25.4891,78.1196,5844,53123,2763,7.6,4.5,159,6.3,2.24,0.75,1.03,1.83,0.6,6.9,5.1,1.53,174,7.9,No
Bengaluru,BTM Layout,North,13.2176,75.3897,6024,60523,4655,6.5,2.9,141,6.3,3.58,4.47,2.46,2.96,1.06,6.6,5.7,1.98,97,6.2,Yes
Bengaluru,Yelahanka,West,17.5661,78.6483,10416,50990,3520,8.7,3.2,170,5.1,1.25,0.33,3.37,4.66,0.63,9.0,6.5,2.87,270,9.0,No
Bengaluru,Whitefield,East,17.8986,79.8993,7790,80784,4073,7.0,2.8,201,4.3,4.32,2.36,4.46,1.48,0.63,8.9,6.3,1.13,204,6.7,No
Bengaluru,Whitefield,Central,13.228,78.2268,7934,75469,3886,9.0,1.3,224,6.0,1.27,1.57,2.52,1.02,0.69,7.3,6.5,3.79,209,7.4,No
Bengaluru,BTM Layout,Central,13.3846,80.0601,15995,88373,6364,8.4,1.4,183,6.0,2.45,3.02,1.27,5.41,1.05,7.4,7.9,5.81,170,6.4,Yes
Bengaluru,Yelahanka,South,20.9198,76.6429,14011,46971,5151,7.6,3.1,248,3.7,5.99,2.33,2.77,5.08,0.22,8.9,7.8,2.42,147,7.6,Yes
Bengaluru,Electronic City,West,18.338,73.4419,15915,77303,4112,6.7,1.2,149,3.1,2.39,0.76,5.8,5.13,1.14,7.8,7.0,2.32,169,9.4,Yes
Bengaluru,BTM Layout,South,15.7636,77.6955,10981,21826,3116,7.8,2.9,121,6.2,1.63,3.46,5.85,0.53,0.24,9.1,5.3,2.29,177,6.4,No
Bengaluru,BTM Layout,Central,28.1581,75.0819,10867,69451,6308,6.8,2.6,237,5.8,4.98,3.27,2.78,3.46,0.22,6.5,5.0,2.18,106,7.3,Yes
Bengaluru,Electronic City,West,19.45,73.7478,10786,73448,3021,8.0,3.4,164,5.5,3.19,0.89,2.89,2.59,0.18,7.3,4.5,1.25,268,7.3,No
Bengaluru,Electronic City,West,19.3052,76.4371,11772,82054,2870,6.7,1.1,176,4.3,2.01,2.56,2.01,2.62,1.14,8.7,7.0,1.12,89,6.9,No
Bengaluru,Yelahanka,Central,25.8795,73.0162,11731,89611,3290,9.5,1.5,183,4.3,6.0,2.19,3.09,4.53,0.71,9.5,8.0,1.8,267,8.6,No
Bengaluru,Yelahanka,Central,22.8611,73.9615,6781,45082,3195,8.9,3.6,256,4.3,3.46,1.66,5.22,1.73,0.47,9.0,8.9,4.24,84,6.5,Yes
Bengaluru,Indiranagar,East,26.5861,73.6644,6674,50725,2698,8.6,4.7,220,5.2,3.68,1.43,3.49,2.6,0.99,9.1,4.9,3.34,131,8.4,Yes
Bengaluru,BTM Layout,West,18.0039,72.7188,6026,78089,4434,9.1,4.6,221,4.0,2.86,1.19,2.61,4.59,0.57,8.0,7.0,3.17,147,9.1,Yes
Bengaluru,Indiranagar,North,22.7563,79.0589,4766,34284,2794,7.8,1.0,229,3.9,4.29,0.85,4.9,1.04,1.41,7.0,7.4,1.88,155,8.3,No
Bengaluru,Whitefield,North,19.1018,75.0219,15959,48689,5016,8.5,4.2,120,4.0,0.93,2.79,4.12,2.56,0.11,7.2,5.0,5.23,237,6.5,Yes
Bengaluru,Whitefield,West,14.2204,78.8253,6190,59071,4511,9.1,1.6,154,5.9,4.22,0.59,4.38,3.43,0.33,7.2,5.5,4.62,295,7.4,No
Bengaluru,BTM Layout,South,14.1783,73.4635,6517,68335,4379,9.4,2.4,155,4.1,4.05,1.34,4.61,4.02,0.5,9.3,4.6,5.16,284,7.1,No
Bengaluru,Electronic City,Central,15.7995,75.6773,15086,25152,3460,8.0,1.5,247,5.9,0.89,4.03,1.07,2.11,0.54,7.4,8.3,2.81,199,8.4,Yes
Bengaluru,Indiranagar,North,22.1391,72.8048,8034,23220,1995,9.3,2.8,193,5.8,3.26,2.04,5.21,0.64,0.85,8.2,5.7,2.2,190,9.2,Yes
Bengaluru,Electronic City,East,19.0126,77.5206,15146,26665,4040,8.6,4.3,181,3.3,0.97,2.12,3.72,3.43,0.53,8.6,7.8,1.16,241,6.5,Yes
Bengaluru,Whitefield,West,27.953,76.6748,8747,39884,4546,6.9,4.5,188,6.3,1.15,4.08,3.01,2.48,0.83,6.9,8.9,3.95,187,7.6,Yes
Bengaluru,Indiranagar,West,26.4638,73.9683,7077,51438,2342,9.2,4.0,149,4.0,3.3,0.48,6.18,1.5,0.76,7.3,5.2,5.62,279,6.1,No
Bengaluru,BTM Layout,South,17.9167,75.8636,9741,53554,2138,8.2,1.5,133,3.8,4.92,4.42,6.72,0.57,0.75,7.0,8.3,2.3,201,7.6,Yes
Bengaluru,Whitefield,East,21.7645,75.0097,14702,49795,5300,7.6,5.4,170,6.3,3.51,3.64,1.9,5.14,0.13,7.9,7.4,4.31,62,9.3,Yes
Bengaluru,BTM Layout,East,14.4528,76.7266,8402,73026,5530,9.4,5.4,156,6.2,1.01,4.17,6.38,2.95,1.08,7.3,8.9,0.97,84,7.8,No
Bengaluru,BTM Layout,North,22.2111,73.1733,15353,35132,3439,7.4,4.8,220,6.2,4.54,1.64,2.63,0.6,0.38,8.7,7.1,1.35,102,7.6,Yes
Bengaluru,BTM Layout,North,21.3212,80.0312,7901,77233,4025,7.9,4.8,143,3.7,4.27,3.77,5.18,0.41,1.27,7.1,4.9,1.87,151,7.4,Yes
Bengaluru,Yelahanka,East,25.8394,74.0214,11125,77270,6054,8.7,2.1,238,3.5,4.87,0.81,1.37,4.34,0.41,6.7,6.3,4.27,300,8.3,No
Bengaluru,Electronic City,East,27.3871,73.2699,5556,43919,5132,8.9,1.4,204,3.6,5.68,0.51,6.54,2.5,1.11,7.7,6.2,2.85,150,6.8,Yes
Bengaluru,Yelahanka,East,19.8916,73.8296,14561,50215,3917,8.0,5.0,242,3.3,2.04,0.88,2.2,4.89,0.84,8.2,8.1,4.87,157,8.7,Yes
Bengaluru,BTM Layout,Central,25.2248,75.3147,13767,83849,4134,7.7,1.8,201,5.7,0.66,3.7,2.69,4.49,0.76,7.3,7.1,1.78,100,6.4,No
Bengaluru,Whitefield,East,21.2857,78.7134,5416,46758,6216,9.0,4.6,210,7.2,5.95,1.03,2.42,1.89,1.13,7.3,7.2,4.37,150,9.3,No
Bengaluru,Whitefield,Central,27.8791,79.0589,12564,89057,4031,7.0,1.2,134,4.0,1.7,2.51,1.0,5.06,0.38,6.5,7.7,5.55,276,9.0,Yes
Bengaluru,Indiranagar,South,22.1271,79.6709,6317,86982,4489,9.4,2.7,221,5.6,2.35,1.65,6.86,4.08,0.71,8.2,6.7,2.25,241,9.4,No
Bengaluru,Electronic City,East,16.3495,77.176,7372,67595,4013,8.7,2.3,165,6.3,5.72,4.28,3.35,5.47,1.45,6.1,7.2,5.57,216,6.8,No
Bengaluru,Indiranagar,West,15.0362,78.3646,8399,63457,4117,7.0,5.0,142,6.7,4.19,3.36,3.01,0.26,0.39,8.4,6.1,4.83,244,6.0,Yes
Bengaluru,BTM Layout,West,28.2087,79.4226,12578,67638,4377,8.1,1.5,242,6.5,3.68,3.48,2.35,2.59,1.22,6.1,4.6,1.94,86,6.3,Yes
Bengaluru,BTM Layout,South,24.4386,76.8576,6025,62295,6366,9.5,5.0,127,4.9,4.09,2.85,3.61,0.48,0.56,9.4,6.3,3.55,296,8.6,Yes
Bengaluru,Yelahanka,East,16.577,73.0772,13867,82349,2758,6.7,1.0,142,4.3,4.14,2.82,2.2,0.34,0.34,7.0,4.9,5.14,138,8.7,Yes
